id_producao,id_data,id_maquina,id_turno,tempo_disponivel_min,tempo_paradas_planejadas_min,tempo_paradas_naoplan_min,tempo_operacao_min,qtd_planejada,qtd_produzida,qtd_refugo,qtd_retrabalho,tempo_ciclo_ideal_seg
225,7,11,1,480,31,49,400,3400,2864,72,28,2.7
226,7,11,2,480,43,8,429,3400,2653,110,44,2.7
227,7,12,1,480,34,15,431,1700,1596,69,30,8.0
228,7,12,2,480,38,42,400,1700,1301,52,18,8.0
229,8,1,1,480,41,27,412,2550,1975,66,18,4.5
230,8,1,2,480,60,10,410,2550,2341,85,33,4.5
231,8,1,3,480,50,11,419,2550,2248,116,37,4.5
232,8,2,1,480,59,50,371,2550,1940,66,27,4.8
233,8,2,2,480,48,57,375,2550,2266,82,25,4.8
234,8,2,3,480,37,15,428,2550,2121,103,29,4.8
235,8,3,1,480,32,83,365,2550,2191,103,49,5.0
236,8,3,2,480,34,85,361,2550,2038,62,17,5.0
237,8,3,3,480,32,110,338,2550,2203,100,30,5.0
238,8,4,1,480,55,95,330,1700,1316,42,17,6.0
239,8,4,2,480,54,90,336,1700,1544,63,17,6.0
240,8,4,3,480,32,73,375,1700,1653,49,11,6.0
241,8,5,1,480,34,48,398,1700,1590,87,38,6.2
242,8,5,2,480,54,59,367,1700,1478,47,22,6.2
243,8,5,3,480,48,12,420,1700,1524,75,31,6.2
244,8,6,1,480,45,10,425,3400,3316,177,69,3.5
245,8,6,2,480,56,30,394,3400,2590,122,26,3.5
246,8,6,3,480,45,11,424,3400,3331,148,50,3.5
247,8,7,1,480,36,18,426,3400,2644,129,33,3.8
248,8,7,2,480,37,54,389,3400,2879,145,61,3.8
249,8,7,3,480,49,43,388,3400,2905,126,49,3.8
250,8,8,1,480,43,35,402,1700,1417,63,21,7.0
251,8,8,2,480,32,41,407,1700,1482,61,19,7.0
252,8,8,3,480,36,19,425,1700,1589,69,27,7.0
253,8,9,1,480,42,22,416,1700,1478,60,27,7.5
254,8,9,2,480,31,59,390,1700,1455,81,16,7.5
255,8,9,3,480,42,17,421,1700,1425,77,17,7.5
256,8,10,1,480,43,58,379,3400,3149,93,31,2.5
257,8,10,2,480,54,45,381,3400,3233,141,60,2.5
258,8,10,3,480,54,113,313,3400,3126,80,18,2.5
259,8,11,1,480,43,60,377,3400,2774,75,20,2.7
260,8,11,2,480,54,52,374,3400,2563,112,36,2.7
261,8,11,3,480,46,28,406,3400,2647,113,49,2.7
262,8,12,1,480,34,47,399,1700,1505,83,38,8.0
263,8,12,2,480,53,15,412,1700,1628,90,38,8.0
264,8,12,3,480,33,12,435,1700,1643,77,29,8.0
265,9,1,1,480,42,50,388,2550,2047,70,18,4.5
266,9,1,2,480,46,7,427,2550,2397,121,47,4.5
267,9,1,3,480,52,53,375,2550,2216,100,35,4.5
268,9,2,1,480,56,46,378,2550,2214,94,46,4.8
269,9,2,2,480,32,36,412,2550,2184,100,42,4.8
270,9,2,3,480,54,13,413,2550,2437,127,42,4.8
271,9,3,1,480,53,96,331,2550,2072,87,18,5.0
272,9,3,2,480,31,105,344,2550,1933,74,35,5.0
273,9,3,3,480,40,88,352,2550,2077,75,15,5.0
274,9,4,1,480,56,34,390,1700,1294,56,27,6.0
275,9,4,2,480,45,106,329,1700,1624,90,19,6.0
276,9,4,3,480,42,91,347,1700,1506,77,23,6.0
277,9,5,1,480,31,44,405,1700,1496,55,25,6.2
278,9,5,2,480,48,20,412,1700,1532,79,36,6.2
279,9,5,3,480,38,17,425,1700,1602,77,31,6.2
280,9,6,1,480,60,31,389,3400,3138,107,49,3.5
281,9,6,2,480,55,55,370,3400,3237,97,43,3.5
282,9,6,3,480,50,34,396,3400,3260,97,35,3.5
283,9,7,1,480,42,33,405,3400,2752,96,21,3.8
284,9,7,2,480,56,53,371,3400,2987,98,30,3.8
285,9,7,3,480,53,49,378,3400,3159,103,44,3.8
286,9,8,1,480,39,45,396,1700,1651,64,24,7.0
287,9,8,2,480,59,41,380,1700,1315,71,28,7.0
288,9,8,3,480,47,8,425,1700,1392,67,14,7.0
289,9,9,1,480,39,58,383,1700,1410,65,13,7.5
290,9,9,2,480,47,18,415,1700,1655,91,38,7.5
291,9,9,3,480,32,56,392,1700,1571,48,9,7.5
292,9,10,1,480,35,108,337,3400,3190,83,16,2.5
293,9,10,2,480,31,75,374,3400,2916,124,28,2.5
294,9,10,3,480,38,68,374,3400,2962,117,33,2.5
295,9,11,1,480,31,51,398,3400,3082,110,31,2.7
296,9,11,2,480,46,48,386,3400,2574,96,45,2.7
297,9,11,3,480,34,24,422,3400,2860,76,37,2.7
298,9,12,1,480,30,42,408,1700,1364,48,10,8.0
299,9,12,2,480,54,28,398,1700,1419,74,25,8.0
300,9,12,3,480,37,50,393,1700,1354,43,10,8.0
301,10,1,1,480,56,50,374,2550,2223,67,29,4.5
302,10,1,2,480,41,57,382,2550,2447,134,34,4.5
303,10,1,3,480,44,29,407,2550,1913,87,33,4.5
304,10,2,1,480,49,40,391,2550,2240,80,19,4.8
305,10,2,2,480,51,58,371,2550,2103,95,31,4.8
306,10,2,3,480,42,21,417,2550,1919,61,19,4.8
307,10,3,1,480,43,67,370,2550,2083,100,45,5.0
308,10,3,2,480,35,70,375,2550,1935,82,18,5.0
309,10,3,3,480,46,105,329,2550,2491,83,29,5.0
310,10,4,1,480,51,49,380,1700,1410,70,33,6.0
311,10,4,2,480,30,31,419,1700,1483,78,17,6.0
312,10,4,3,480,42,55,383,1700,1430,47,17,6.0
313,10,5,1,480,43,54,383,1700,1596,49,19,6.2
314,10,5,2,480,37,15,428,1700,1323,70,26,6.2
315,10,5,3,480,38,43,399,1700,1514,57,27,6.2
316,10,6,1,480,37,54,389,3400,3038,153,58,3.5
317,10,6,2,480,60,11,409,3400,3066,136,51,3.5
318,10,6,3,480,51,30,399,3400,2926,90,22,3.5
319,10,7,1,480,43,15,422,3400,3116,141,55,3.8
320,10,7,2,480,54,49,377,3400,3031,116,39,3.8
321,10,7,3,480,42,12,426,3400,3231,133,28,3.8
322,10,8,1,480,41,22,417,1700,1283,60,17,7.0
323,10,8,2,480,53,45,382,1700,1467,47,15,7.0
324,10,8,3,480,58,33,389,1700,1438,50,22,7.0
325,10,9,1,480,46,34,400,1700,1650,67,30,7.5
326,10,9,2,480,34,8,438,1700,1562,78,27,7.5
327,10,9,3,480,47,53,380,1700,1475,66,13,7.5
328,10,10,1,480,31,95,354,3400,3017,117,46,2.5
329,10,10,2,480,48,87,345,3400,3263,81,31,2.5
330,10,10,3,480,37,50,393,3400,3123,72,29,2.5
331,10,11,1,480,45,34,401,3400,2690,69,33,2.7
332,10,11,2,480,52,41,387,3400,3218,102,27,2.7
333,10,11,3,480,57,51,372,3400,3013,102,40,2.7
334,10,12,1,480,36,10,434,1700,1529,58,18,8.0
335,10,12,2,480,32,41,407,1700,1278,57,21,8.0
336,10,12,3,480,33,49,398,1700,1367,49,22,8.0
337,11,1,1,480,51,18,411,2550,2106,87,34,4.5
338,11,1,2,480,38,5,437,2550,2176,98,47,4.5
339,11,1,3,480,54,58,368,2550,2010,62,26,4.5
340,11,2,1,480,34,16,430,2550,2190,113,49,4.8
341,11,2,2,480,57,51,372,2550,2421,85,19,4.8
342,11,2,3,480,47,18,415,2550,1945,85,40,4.8
343,11,3,1,480,58,30,392,2550,1984,82,39,5.0
344,11,3,2,480,34,62,384,2550,2209,68,16,5.0
345,11,3,3,480,50,117,313,2550,2314,70,20,5.0
346,11,4,1,480,58,86,336,1700,1501,54,19,6.0
347,11,4,2,480,52,73,355,1700,1483,49,11,6.0
348,11,4,3,480,49,109,322,1700,1642,80,19,6.0
349,11,5,1,480,50,5,425,1700,1560,53,14,6.2
350,11,5,2,480,44,26,410,1700,1374,64,31,6.2
351,11,5,3,480,40,14,426,1700,1281,46,20,6.2
352,11,6,1,480,44,44,392,3400,3150,103,45,3.5
353,11,6,2,480,33,37,410,3400,3019,164,73,3.5
354,11,6,3,480,45,9,426,3400,3001,117,28,3.5
355,11,7,1,480,35,13,432,3400,3227,180,76,3.8
356,11,7,2,480,50,17,413,3400,2775,91,35,3.8
357,11,7,3,480,35,50,395,3400,3273,135,63,3.8
358,11,8,1,480,42,45,393,1700,1399,73,22,7.0
359,11,8,2,480,59,58,363,1700,1528,58,22,7.0
360,11,8,3,480,55,11,414,1700,1495,59,21,7.0
361,11,9,1,480,30,53,397,1700,1488,61,12,7.5
362,11,9,2,480,40,39,401,1700,1340,62,26,7.5
363,11,9,3,480,38,7,435,1700,1487,81,36,7.5
364,11,10,1,480,57,55,368,3400,2635,62,22,2.5
365,11,10,2,480,44,73,363,3400,2922,86,31,2.5
366,11,10,3,480,43,72,365,3400,2564,63,12,2.5
367,11,11,1,480,44,57,379,3400,3252,84,40,2.7
368,11,11,2,480,44,8,428,3400,3280,93,21,2.7
369,11,11,3,480,58,8,414,3400,2750,73,21,2.7
370,11,12,1,480,44,32,404,1700,1485,56,21,8.0
371,11,12,2,480,47,6,427,1700,1381,56,13,8.0
372,11,12,3,480,40,11,429,1700,1541,53,18,8.0
373,12,1,1,480,36,60,384,2550,2377,82,38,4.5
374,12,1,2,480,49,8,423,2550,1963,100,31,4.5
375,12,1,3,480,42,46,392,2550,1978,59,23,4.5
376,12,2,1,480,50,26,404,2550,2260,114,44,4.8
377,12,2,2,480,53,46,381,2550,2440,95,25,4.8
378,12,2,3,480,34,8,438,2550,2073,106,34,4.8
379,12,3,1,480,39,118,323,2550,1968,90,30,5.0
380,12,3,2,480,47,98,335,2550,2011,98,44,5.0
381,12,3,3,480,52,50,378,2550,1968,60,23,5.0
382,12,4,1,480,57,100,323,1700,1488,53,16,6.0
383,12,4,2,480,58,86,336,1700,1469,81,19,6.0
384,12,4,3,480,50,47,383,1700,1433,58,24,6.0
385,12,5,1,480,46,15,419,1700,1662,55,12,6.2
386,12,5,2,480,55,42,383,1700,1501,55,12,6.2
387,12,5,3,480,37,41,402,1700,1624,56,16,6.2
388,12,6,1,480,56,10,414,3400,2827,89,31,3.5
389,12,6,2,480,31,9,440,3400,2604,121,34,3.5
390,12,6,3,480,37,54,389,3400,3081,110,37,3.5
391,12,7,1,480,51,10,419,3400,2590,103,31,3.8
392,12,7,2,480,32,38,410,3400,2899,112,41,3.8
393,12,7,3,480,55,40,385,3400,3302,153,65,3.8
394,12,8,1,480,52,20,408,1700,1435,58,25,7.0
395,12,8,2,480,41,21,418,1700,1392,77,26,7.0
396,12,8,3,480,59,49,372,1700,1321,73,15,7.0
397,12,9,1,480,49,44,387,1700,1575,57,22,7.5
398,12,9,2,480,49,10,421,1700,1375,69,31,7.5
399,12,9,3,480,50,20,410,1700,1473,50,10,7.5
400,12,10,1,480,33,52,395,3400,2755,78,17,2.5
401,12,10,2,480,56,102,322,3400,2948,117,33,2.5
402,12,10,3,480,55,97,328,3400,3232,77,33,2.5
403,12,11,1,480,44,26,410,3400,2993,87,30,2.7
404,12,11,2,480,46,46,388,3400,2972,104,41,2.7
405,12,11,3,480,39,34,407,3400,3114,72,18,2.7
406,12,12,1,480,43,13,424,1700,1401,42,10,8.0
407,12,12,2,480,32,22,426,1700,1649,74,35,8.0
408,12,12,3,480,31,29,420,1700,1462,55,21,8.0
409,13,1,1,480,30,50,400,2550,2439,125,36,4.5
410,13,1,2,480,32,45,403,2550,2396,113,26,4.5
411,13,2,1,480,50,38,392,2550,2209,79,17,4.8
412,13,2,2,480,41,36,403,2550,1984,90,43,4.8
413,13,3,1,480,49,47,384,2550,2075,108,21,5.0
414,13,3,2,480,40,31,409,2550,2293,77,16,5.0
415,13,4,1,480,48,63,369,1700,1454,45,22,6.0
416,13,4,2,480,58,60,362,1700,1546,85,23,6.0
417,13,5,1,480,32,25,423,1700,1322,50,11,6.2
418,13,5,2,480,45,20,415,1700,1299,56,27,6.2
419,13,6,1,480,46,41,393,3400,3031,115,44,3.5
420,13,6,2,480,57,42,381,3400,2883,96,44,3.5
421,13,7,1,480,59,39,382,3400,2837,115,51,3.8
422,13,7,2,480,34,26,420,3400,3303,120,28,3.8
423,13,8,1,480,50,58,372,1700,1584,71,28,7.0
424,13,8,2,480,53,43,384,1700,1517,58,26,7.0
425,13,9,1,480,42,25,413,1700,1352,42,8,7.5
426,13,9,2,480,46,39,395,1700,1378,64,22,7.5
427,13,10,1,480,52,55,373,3400,2649,107,29,2.5
428,13,10,2,480,47,81,352,3400,3222,94,45,2.5
429,13,11,1,480,46,45,389,3400,2629,94,45,2.7
430,13,11,2,480,31,52,397,3400,2749,110,23,2.7
431,13,12,1,480,57,44,379,1700,1455,67,26,8.0
432,13,12,2,480,56,26,398,1700,1523,70,15,8.0
433,14,1,1,480,53,49,378,2550,2000,98,34,4.5
434,14,1,2,480,34,12,434,2550,1936,62,25,4.5
435,14,2,1,480,42,55,383,2550,1954,59,28,4.8
436,14,2,2,480,50,44,386,2550,2119,79,24,4.8
437,14,3,1,480,44,112,324,2550,2300,80,20,5.0
438,14,3,2,480,34,34,412,2550,2299,114,31,5.0
439,14,4,1,480,35,110,335,1700,1390,69,26,6.0
440,14,4,2,480,31,108,341,1700,1355,44,16,6.0
441,14,5,1,480,43,45,392,1700,1526,66,14,6.2
442,14,5,2,480,47,14,419,1700,1587,59,29,6.2
443,14,6,1,480,51,17,412,3400,3005,148,65,3.5
444,14,6,2,480,57,38,385,3400,2650,102,48,3.5
445,14,7,1,480,52,13,415,3400,2841,117,38,3.8
446,14,7,2,480,54,54,372,3400,3287,119,28,3.8
447,14,8,1,480,48,50,382,1700,1279,71,28,7.0
448,14,8,2,480,59,59,362,1700,1618,59,21,7.0
449,14,9,1,480,50,17,413,1700,1361,75,31,7.5
450,14,9,2,480,43,11,426,1700,1345,42,12,7.5
451,14,10,1,480,51,118,311,3400,3283,69,17,2.5
452,14,10,2,480,58,114,308,3400,3117,123,32,2.5
453,14,11,1,480,48,27,405,3400,3207,120,43,2.7
454,14,11,2,480,58,37,385,3400,2947,79,29,2.7
455,14,12,1,480,58,34,388,1700,1616,75,32,8.0
456,14,12,2,480,44,12,424,1700,1455,44,12,8.0
457,15,1,1,480,34,7,439,2550,2494,81,25,4.5
458,15,1,2,480,39,38,403,2550,2032,90,37,4.5
