id_parada,id_data,id_maquina,id_turno,inicio_parada,fim_parada,duracao_min,tipo_parada,categoria,descricao
28,1,5,2,2024-01-01 16:00:00,2024-01-01 16:40:00,40,Não Planejada,Falta Material,Parada não planejada por falta material
29,1,5,3,2024-01-01 22:00:00,2024-01-01 22:52:00,52,Planejada,Setup,Setup de rotina
30,1,5,3,2024-01-02 00:00:00,2024-01-02 00:44:00,44,Não Planejada,Falta Material,Parada não planejada por falta material
31,1,6,1,2024-01-01 06:00:00,2024-01-01 06:53:00,53,Planejada,Setup,Setup de rotina
32,1,6,1,2024-01-01 08:00:00,2024-01-01 08:30:00,30,Não Planejada,Elétrica,Parada não planejada por elétrica
33,1,6,2,2024-01-01 14:00:00,2024-01-01 14:58:00,58,Planejada,Limpeza,Limpeza de rotina
34,1,6,2,2024-01-01 16:00:00,2024-01-01 16:19:00,19,Não Planejada,Mecânica,Parada não planejada por mecânica
35,1,6,3,2024-01-01 22:00:00,2024-01-01 22:30:00,30,Planejada,Setup,Setup de rotina
36,1,6,3,2024-01-02 00:00:00,2024-01-02 00:48:00,48,Não Planejada,Falta Material,Parada não planejada por falta material
37,1,7,1,2024-01-01 06:00:00,2024-01-01 06:37:00,37,Planejada,Setup,Setup de rotina
38,1,7,1,2024-01-01 08:00:00,2024-01-01 08:39:00,39,Não Planejada,Mecânica,Parada não planejada por mecânica
39,1,7,2,2024-01-01 14:00:00,2024-01-01 14:55:00,55,Planejada,Setup,Setup de rotina
40,1,7,2,2024-01-01 16:00:00,2024-01-01 16:45:00,45,Não Planejada,Falta Material,Parada não planejada por falta material
41,1,7,3,2024-01-01 22:00:00,2024-01-01 22:30:00,30,Planejada,Reunião,Reunião de rotina
42,1,7,3,2024-01-02 00:00:00,2024-01-02 00:52:00,52,Não Planejada,Mecânica,Parada não planejada por mecânica
43,1,8,1,2024-01-01 06:00:00,2024-01-01 06:41:00,41,Planejada,Limpeza,Limpeza de rotina
44,1,8,1,2024-01-01 08:00:00,2024-01-01 08:44:00,44,Não Planejada,Mecânica,Parada não planejada por mecânica
45,1,8,2,2024-01-01 14:00:00,2024-01-01 14:44:00,44,Planejada,Reunião,Reunião de rotina
46,1,8,2,2024-01-01 16:00:00,2024-01-01 16:18:00,18,Não Planejada,Mecânica,Parada não planejada por mecânica
47,1,8,3,2024-01-01 22:00:00,2024-01-01 22:43:00,43,Planejada,Setup,Setup de rotina
48,1,8,3,2024-01-02 00:00:00,2024-01-02 00:43:00,43,Não Planejada,Mecânica,Parada não planejada por mecânica
49,1,9,1,2024-01-01 06:00:00,2024-01-01 06:57:00,57,Planejada,Setup,Setup de rotina
50,1,9,1,2024-01-01 08:00:00,2024-01-01 08:17:00,17,Não Planejada,Mecânica,Parada não planejada por mecânica
51,1,9,2,2024-01-01 14:00:00,2024-01-01 14:58:00,58,Planejada,Limpeza,Limpeza de rotina
52,1,9,2,2024-01-01 16:00:00,2024-01-01 16:36:00,36,Não Planejada,Mecânica,Parada não planejada por mecânica
53,1,9,3,2024-01-01 22:00:00,2024-01-01 22:44:00,44,Planejada,Reunião,Reunião de rotina
54,1,9,3,2024-01-02 00:00:00,2024-01-02 00:47:00,47,Não Planejada,Elétrica,Parada não planejada por elétrica
55,1,10,1,2024-01-01 06:00:00,2024-01-01 06:48:00,48,Planejada,Limpeza,Limpeza de rotina
56,1,10,1,2024-01-01 08:00:00,2024-01-01 09:55:00,115,Não Planejada,Elétrica,Parada não planejada por elétrica
57,1,10,2,2024-01-01 14:00:00,2024-01-01 14:50:00,50,Planejada,Limpeza,Limpeza de rotina
58,1,10,2,2024-01-01 16:00:00,2024-01-01 16:35:00,35,Não Planejada,Elétrica,Parada não planejada por elétrica
59,1,10,3,2024-01-01 22:00:00,2024-01-01 22:59:00,59,Planejada,Limpeza,Limpeza de rotina
60,1,10,3,2024-01-02 00:00:00,2024-01-02 01:44:00,104,Não Planejada,Falta Material,Parada não planejada por falta material
61,1,11,1,2024-01-01 06:00:00,2024-01-01 06:59:00,59,Planejada,Setup,Setup de rotina
62,1,11,1,2024-01-01 08:00:00,2024-01-01 08:37:00,37,Não Planejada,Mecânica,Parada não planejada por mecânica
63,1,11,2,2024-01-01 14:00:00,2024-01-01 14:42:00,42,Planejada,Limpeza,Limpeza de rotina
64,1,11,2,2024-01-01 16:00:00,2024-01-01 16:45:00,45,Não Planejada,Falta Material,Parada não planejada por falta material
65,1,11,3,2024-01-01 22:00:00,2024-01-01 22:59:00,59,Planejada,Setup,Setup de rotina
66,1,11,3,2024-01-02 00:00:00,2024-01-02 00:41:00,41,Não Planejada,Mecânica,Parada não planejada por mecânica
67,1,12,1,2024-01-01 06:00:00,2024-01-01 06:56:00,56,Planejada,Limpeza,Limpeza de rotina
68,1,12,1,2024-01-01 08:00:00,2024-01-01 08:58:00,58,Não Planejada,Mecânica,Parada não planejada por mecânica
69,1,12,2,2024-01-01 14:00:00,2024-01-01 14:59:00,59,Planejada,Setup,Setup de rotina
70,1,12,2,2024-01-01 16:00:00,2024-01-01 16:53:00,53,Não Planejada,Mecânica,Parada não planejada por mecânica
71,1,12,3,2024-01-01 22:00:00,2024-01-01 22:32:00,32,Planejada,Setup,Setup de rotina
72,1,12,3,2024-01-02 00:00:00,2024-01-02 00:53:00,53,Não Planejada,Mecânica,Parada não planejada por mecânica
73,2,1,1,2024-01-02 06:00:00,2024-01-02 06:31:00,31,Planejada,Reunião,Reunião de rotina
74,2,1,1,2024-01-02 08:00:00,2024-01-02 08:06:00,6,Não Planejada,Falta Material,Parada não planejada por falta material
75,2,1,2,2024-01-02 14:00:00,2024-01-02 14:30:00,30,Planejada,Reunião,Reunião de rotina
76,2,1,2,2024-01-02 16:00:00,2024-01-02 16:23:00,23,Não Planejada,Falta Material,Parada não planejada por falta material
77,2,1,3,2024-01-02 22:00:00,2024-01-02 22:35:00,35,Planejada,Setup,Setup de rotina
78,2,1,3,2024-01-03 00:00:00,2024-01-03 00:36:00,36,Não Planejada,Falta Material,Parada não planejada por falta material
79,2,2,1,2024-01-02 06:00:00,2024-01-02 06:46:00,46,Planejada,Reunião,Reunião de rotina
80,2,2,1,2024-01-02 08:00:00,2024-01-02 08:42:00,42,Não Planejada,Falta Material,Parada não planejada por falta material
81,2,2,2,2024-01-02 14:00:00,2024-01-02 14:40:00,40,Planejada,Limpeza,Limpeza de rotina
82,2,2,2,2024-01-02 16:00:00,2024-01-02 16:52:00,52,Não Planejada,Mecânica,Parada não planejada por mecânica
83,2,2,3,2024-01-02 22:00:00,2024-01-02 22:45:00,45,Planejada,Setup,Setup de rotina
84,2,2,3,2024-01-03 00:00:00,2024-01-03 00:33:00,33,Não Planejada,Mecânica,Parada não planejada por mecânica
85,2,3,1,2024-01-02 06:00:00,2024-01-02 06:55:00,55,Planejada,Reunião,Reunião de rotina
86,2,3,1,2024-01-02 08:00:00,2024-01-02 09:36:00,96,Não Planejada,Mecânica,Parada não planejada por mecânica
87,2,3,2,2024-01-02 14:00:00,2024-01-02 14:38:00,38,Planejada,Limpeza,Limpeza de rotina
88,2,3,2,2024-01-02 16:00:00,2024-01-02 17:02:00,62,Não Planejada,Mecânica,Parada não planejada por mecânica
89,2,3,3,2024-01-02 22:00:00,2024-01-02 22:40:00,40,Planejada,Limpeza,Limpeza de rotina
90,2,3,3,2024-01-03 00:00:00,2024-01-03 01:26:00,86,Não Planejada,Mecânica,Parada não planejada por mecânica
91,2,4,1,2024-01-02 06:00:00,2024-01-02 06:32:00,32,Planejada,Setup,Setup de rotina
92,2,4,1,2024-01-02 08:00:00,2024-01-02 08:36:00,36,Não Planejada,Elétrica,Parada não planejada por elétrica
93,2,4,2,2024-01-02 14:00:00,2024-01-02 14:57:00,57,Planejada,Limpeza,Limpeza de rotina
94,2,4,2,2024-01-02 16:00:00,2024-01-02 16:31:00,31,Não Planejada,Mecânica,Parada não planejada por mecânica
95,2,4,3,2024-01-02 22:00:00,2024-01-02 22:56:00,56,Planejada,Limpeza,Limpeza de rotina
96,2,4,3,2024-01-03 00:00:00,2024-01-03 00:38:00,38,Não Planejada,Elétrica,Parada não planejada por elétrica
97,2,5,1,2024-01-02 06:00:00,2024-01-02 06:49:00,49,Planejada,Limpeza,Limpeza de rotina
98,2,5,1,2024-01-02 08:00:00,2024-01-02 08:28:00,28,Não Planejada,Mecânica,Parada não planejada por mecânica
99,2,5,2,2024-01-02 14:00:00,2024-01-02 14:46:00,46,Planejada,Limpeza,Limpeza de rotina
100,2,5,2,2024-01-02 16:00:00,2024-01-02 16:12:00,12,Não Planejada,Elétrica,Parada não planejada por elétrica
101,2,5,3,2024-01-02 22:00:00,2024-01-02 22:45:00,45,Planejada,Limpeza,Limpeza de rotina
102,2,5,3,2024-01-03 00:00:00,2024-01-03 00:29:00,29,Não Planejada,Elétrica,Parada não planejada por elétrica
103,2,6,1,2024-01-02 06:00:00,2024-01-02 06:47:00,47,Planejada,Limpeza,Limpeza de rotina
104,2,6,1,2024-01-02 08:00:00,2024-01-02 08:06:00,6,Não Planejada,Falta Material,Parada não planejada por falta material
105,2,6,2,2024-01-02 14:00:00,2024-01-02 14:30:00,30,Planejada,Setup,Setup de rotina
106,2,6,2,2024-01-02 16:00:00,2024-01-02 16:08:00,8,Não Planejada,Mecânica,Parada não planejada por mecânica
107,2,6,3,2024-01-02 22:00:00,2024-01-02 22:37:00,37,Planejada,Limpeza,Limpeza de rotina
108,2,6,3,2024-01-03 00:00:00,2024-01-03 00:11:00,11,Não Planejada,Elétrica,Parada não planejada por elétrica
109,2,7,1,2024-01-02 06:00:00,2024-01-02 06:56:00,56,Planejada,Setup,Setup de rotina
110,2,7,1,2024-01-02 08:00:00,2024-01-02 08:55:00,55,Não Planejada,Mecânica,Parada não planejada por mecânica
111,2,7,2,2024-01-02 14:00:00,2024-01-02 14:35:00,35,Planejada,Setup,Setup de rotina
112,2,7,2,2024-01-02 16:00:00,2024-01-02 16:49:00,49,Não Planejada,Mecânica,Parada não planejada por mecânica
113,2,7,3,2024-01-02 22:00:00,2024-01-02 22:50:00,50,Planejada,Setup,Setup de rotina
114,2,7,3,2024-01-03 00:00:00,2024-01-03 00:34:00,34,Não Planejada,Falta Material,Parada não planejada por falta material
115,2,8,1,2024-01-02 06:00:00,2024-01-02 06:57:00,57,Planejada,Setup,Setup de rotina
116,2,8,1,2024-01-02 08:00:00,2024-01-02 08:52:00,52,Não Planejada,Mecânica,Parada não planejada por mecânica
117,2,8,2,2024-01-02 14:00:00,2024-01-02 14:46:00,46,Planejada,Limpeza,Limpeza de rotina
118,2,8,2,2024-01-02 16:00:00,2024-01-02 16:48:00,48,Não Planejada,Mecânica,Parada não planejada por mecânica
119,2,8,3,2024-01-02 22:00:00,2024-01-02 22:32:00,32,Planejada,Limpeza,Limpeza de rotina
120,2,8,3,2024-01-03 00:00:00,2024-01-03 00:45:00,45,Não Planejada,Falta Material,Parada não planejada por falta material
121,2,9,1,2024-01-02 06:00:00,2024-01-02 07:00:00,60,Planejada,Setup,Setup de rotina
122,2,9,1,2024-01-02 08:00:00,2024-01-02 08:39:00,39,Não Planejada,Mecânica,Parada não planejada por mecânica
123,2,9,2,2024-01-02 14:00:00,2024-01-02 14:52:00,52,Planejada,Reunião,Reunião de rotina
124,2,9,2,2024-01-02 16:00:00,2024-01-02 16:37:00,37,Não Planejada,Falta Material,Parada não planejada por falta material
125,2,9,3,2024-01-02 22:00:00,2024-01-02 23:00:00,60,Planejada,Setup,Setup de rotina
126,2,9,3,2024-01-03 00:00:00,2024-01-03 00:58:00,58,Não Planejada,Mecânica,Parada não planejada por mecânica
127,2,10,1,2024-01-02 06:00:00,2024-01-02 06:44:00,44,Planejada,Setup,Setup de rotina
128,2,10,1,2024-01-02 08:00:00,2024-01-02 09:55:00,115,Não Planejada,Elétrica,Parada não planejada por elétrica
129,2,10,2,2024-01-02 14:00:00,2024-01-02 14:55:00,55,Planejada,Setup,Setup de rotina
130,2,10,2,2024-01-02 16:00:00,2024-01-02 16:46:00,46,Não Planejada,Elétrica,Parada não planejada por elétrica
131,2,10,3,2024-01-02 22:00:00,2024-01-02 22:36:00,36,Planejada,Limpeza,Limpeza de rotina
132,2,10,3,2024-01-03 00:00:00,2024-01-03 01:11:00,71,Não Planejada,Elétrica,Parada não planejada por elétrica
133,2,11,1,2024-01-02 06:00:00,2024-01-02 06:42:00,42,Planejada,Limpeza,Limpeza de rotina
134,2,11,1,2024-01-02 08:00:00,2024-01-02 08:11:00,11,Não Planejada,Mecânica,Parada não planejada por mecânica
135,2,11,2,2024-01-02 14:00:00,2024-01-02 14:43:00,43,Planejada,Setup,Setup de rotina
136,2,11,2,2024-01-02 16:00:00,2024-01-02 16:20:00,20,Não Planejada,Mecânica,Parada não planejada por mecânica
137,2,11,3,2024-01-02 22:00:00,2024-01-02 22:31:00,31,Planejada,Setup,Setup de rotina
138,2,11,3,2024-01-03 00:00:00,2024-01-03 00:06:00,6,Não Planejada,Mecânica,Parada não planejada por mecânica
139,2,12,1,2024-01-02 06:00:00,2024-01-02 06:55:00,55,Planejada,Limpeza,Limpeza de rotina
140,2,12,1,2024-01-02 08:00:00,2024-01-02 08:26:00,26,Não Planejada,Mecânica,Parada não planejada por mecânica
141,2,12,2,2024-01-02 14:00:00,2024-01-02 14:35:00,35,Planejada,Limpeza,Limpeza de rotina
142,2,12,2,2024-01-02 16:00:00,2024-01-02 16:19:00,19,Não Planejada,Mecânica,Parada não planejada por mecânica
143,2,12,3,2024-01-02 22:00:00,2024-01-02 22:50:00,50,Planejada,Setup,Setup de rotina
144,2,12,3,2024-01-03 00:00:00,2024-01-03 00:48:00,48,Não Planejada,Mecânica,Parada não planejada por mecânica
145,3,1,1,2024-01-03 06:00:00,2024-01-03 06:49:00,49,Planejada,Limpeza,Limpeza de rotina
146,3,1,1,2024-01-03 08:00:00,2024-01-03 08:34:00,34,Não Planejada,Mecânica,Parada não planejada por mecânica
147,3,1,2,2024-01-03 14:00:00,2024-01-03 14:42:00,42,Planejada,Limpeza,Limpeza de rotina
148,3,1,2,2024-01-03 16:00:00,2024-01-03 16:54:00,54,Não Planejada,Falta Material,Parada não planejada por falta material
149,3,1,3,2024-01-03 22:00:00,2024-01-03 23:00:00,60,Planejada,Limpeza,Limpeza de rotina
150,3,1,3,2024-01-04 00:00:00,2024-01-04 00:23:00,23,Não Planejada,Mecânica,Parada não planejada por mecânica
151,3,2,1,2024-01-03 06:00:00,2024-01-03 06:50:00,50,Planejada,Limpeza,Limpeza de rotina
152,3,2,1,2024-01-03 08:00:00,2024-01-03 08:27:00,27,Não Planejada,Mecânica,Parada não planejada por mecânica
153,3,2,2,2024-01-03 14:00:00,2024-01-03 14:55:00,55,Planejada,Limpeza,Limpeza de rotina
154,3,2,3,2024-01-03 22:00:00,2024-01-03 22:54:00,54,Planejada,Setup,Setup de rotina
155,3,2,3,2024-01-04 00:00:00,2024-01-04 00:44:00,44,Não Planejada,Mecânica,Parada não planejada por mecânica
156,3,3,1,2024-01-03 06:00:00,2024-01-03 07:00:00,60,Planejada,Setup,Setup de rotina
157,3,3,1,2024-01-03 08:00:00,2024-01-03 09:38:00,98,Não Planejada,Mecânica,Parada não planejada por mecânica
158,3,3,2,2024-01-03 14:00:00,2024-01-03 14:45:00,45,Planejada,Setup,Setup de rotina
159,3,3,2,2024-01-03 16:00:00,2024-01-03 17:20:00,80,Não Planejada,Falta Material,Parada não planejada por falta material
160,3,3,3,2024-01-03 22:00:00,2024-01-03 22:34:00,34,Planejada,Limpeza,Limpeza de rotina
161,3,3,3,2024-01-04 00:00:00,2024-01-04 01:16:00,76,Não Planejada,Mecânica,Parada não planejada por mecânica
162,3,4,1,2024-01-03 06:00:00,2024-01-03 06:41:00,41,Planejada,Setup,Setup de rotina
163,3,4,1,2024-01-03 08:00:00,2024-01-03 08:45:00,45,Não Planejada,Elétrica,Parada não planejada por elétrica
164,3,4,2,2024-01-03 14:00:00,2024-01-03 14:30:00,30,Planejada,Setup,Setup de rotina
165,3,4,2,2024-01-03 16:00:00,2024-01-03 16:52:00,52,Não Planejada,Falta Material,Parada não planejada por falta material
166,3,4,3,2024-01-03 22:00:00,2024-01-03 22:49:00,49,Planejada,Limpeza,Limpeza de rotina
167,3,4,3,2024-01-04 00:00:00,2024-01-04 00:39:00,39,Não Planejada,Elétrica,Parada não planejada por elétrica
168,3,5,1,2024-01-03 06:00:00,2024-01-03 06:34:00,34,Planejada,Setup,Setup de rotina
169,3,5,1,2024-01-03 08:00:00,2024-01-03 08:49:00,49,Não Planejada,Elétrica,Parada não planejada por elétrica
170,3,5,2,2024-01-03 14:00:00,2024-01-03 14:46:00,46,Planejada,Limpeza,Limpeza de rotina
171,3,5,2,2024-01-03 16:00:00,2024-01-03 16:32:00,32,Não Planejada,Elétrica,Parada não planejada por elétrica
172,3,5,3,2024-01-03 22:00:00,2024-01-03 22:47:00,47,Planejada,Setup,Setup de rotina
173,3,5,3,2024-01-04 00:00:00,2024-01-04 00:39:00,39,Não Planejada,Mecânica,Parada não planejada por mecânica
174,3,6,1,2024-01-03 06:00:00,2024-01-03 06:34:00,34,Planejada,Setup,Setup de rotina
175,3,6,1,2024-01-03 08:00:00,2024-01-03 08:16:00,16,Não Planejada,Mecânica,Parada não planejada por mecânica
176,3,6,2,2024-01-03 14:00:00,2024-01-03 14:41:00,41,Planejada,Setup,Setup de rotina
177,3,6,2,2024-01-03 16:00:00,2024-01-03 16:33:00,33,Não Planejada,Falta Material,Parada não planejada por falta material
178,3,6,3,2024-01-03 22:00:00,2024-01-03 22:48:00,48,Planejada,Setup,Setup de rotina
179,3,6,3,2024-01-04 00:00:00,2024-01-04 00:54:00,54,Não Planejada,Falta Material,Parada não planejada por falta material
180,3,7,1,2024-01-03 06:00:00,2024-01-03 06:55:00,55,Planejada,Setup,Setup de rotina
181,3,7,1,2024-01-03 08:00:00,2024-01-03 08:14:00,14,Não Planejada,Mecânica,Parada não planejada por mecânica
182,3,7,2,2024-01-03 14:00:00,2024-01-03 14:33:00,33,Planejada,Setup,Setup de rotina
183,3,7,2,2024-01-03 16:00:00,2024-01-03 16:57:00,57,Não Planejada,Mecânica,Parada não planejada por mecânica
184,3,7,3,2024-01-03 22:00:00,2024-01-03 22:54:00,54,Planejada,Reunião,Reunião de rotina
185,3,7,3,2024-01-04 00:00:00,2024-01-04 00:25:00,25,Não Planejada,Mecânica,Parada não planejada por mecânica
186,3,8,1,2024-01-03 06:00:00,2024-01-03 06:53:00,53,Planejada,Setup,Setup de rotina
187,3,8,1,2024-01-03 08:00:00,2024-01-03 08:39:00,39,Não Planejada,Falta Material,Parada não planejada por falta material
188,3,8,2,2024-01-03 14:00:00,2024-01-03 14:36:00,36,Planejada,Setup,Setup de rotina
189,3,8,2,2024-01-03 16:00:00,2024-01-03 16:36:00,36,Não Planejada,Mecânica,Parada não planejada por mecânica
190,3,8,3,2024-01-03 22:00:00,2024-01-03 22:46:00,46,Planejada,Setup,Setup de rotina
191,3,8,3,2024-01-04 00:00:00,2024-01-04 00:59:00,59,Não Planejada,Mecânica,Parada não planejada por mecânica
192,3,9,1,2024-01-03 06:00:00,2024-01-03 06:46:00,46,Planejada,Setup,Setup de rotina
193,3,9,1,2024-01-03 08:00:00,2024-01-03 08:53:00,53,Não Planejada,Mecânica,Parada não planejada por mecânica
194,3,9,2,2024-01-03 14:00:00,2024-01-03 14:56:00,56,Planejada,Limpeza,Limpeza de rotina
195,3,9,2,2024-01-03 16:00:00,2024-01-03 16:23:00,23,Não Planejada,Falta Material,Parada não planejada por falta material
196,3,9,3,2024-01-03 22:00:00,2024-01-03 22:41:00,41,Planejada,Setup,Setup de rotina
197,3,9,3,2024-01-04 00:00:00,2024-01-04 00:13:00,13,Não Planejada,Mecânica,Parada não planejada por mecânica
198,3,10,1,2024-01-03 06:00:00,2024-01-03 06:48:00,48,Planejada,Setup,Setup de rotina
199,3,10,1,2024-01-03 08:00:00,2024-01-03 08:45:00,45,Não Planejada,Elétrica,Parada não planejada por elétrica
200,3,10,2,2024-01-03 14:00:00,2024-01-03 14:56:00,56,Planejada,Setup,Setup de rotina
201,3,10,2,2024-01-03 16:00:00,2024-01-03 17:54:00,114,Não Planejada,Falta Material,Parada não planejada por falta material
202,3,10,3,2024-01-03 22:00:00,2024-01-03 22:42:00,42,Planejada,Limpeza,Limpeza de rotina
203,3,10,3,2024-01-04 00:00:00,2024-01-04 01:22:00,82,Não Planejada,Mecânica,Parada não planejada por mecânica
204,3,11,1,2024-01-03 06:00:00,2024-01-03 06:34:00,34,Planejada,Limpeza,Limpeza de rotina
205,3,11,1,2024-01-03 08:00:00,2024-01-03 08:39:00,39,Não Planejada,Mecânica,Parada não planejada por mecânica
206,3,11,2,2024-01-03 14:00:00,2024-01-03 14:41:00,41,Planejada,Setup,Setup de rotina
207,3,11,2,2024-01-03 16:00:00,2024-01-03 16:13:00,13,Não Planejada,Mecânica,Parada não planejada por mecânica
208,3,11,3,2024-01-03 22:00:00,2024-01-03 22:36:00,36,Planejada,Setup,Setup de rotina
209,3,11,3,2024-01-04 00:00:00,2024-01-04 00:50:00,50,Não Planejada,Elétrica,Parada não planejada por elétrica
210,3,12,1,2024-01-03 06:00:00,2024-01-03 06:55:00,55,Planejada,Setup,Setup de rotina
211,3,12,1,2024-01-03 08:00:00,2024-01-03 08:06:00,6,Não Planejada,Mecânica,Parada não planejada por mecânica
212,3,12,2,2024-01-03 14:00:00,2024-01-03 14:45:00,45,Planejada,Reunião,Reunião de rotina
213,3,12,2,2024-01-03 16:00:00,2024-01-03 16:49:00,49,Não Planejada,Mecânica,Parada não planejada por mecânica
214,3,12,3,2024-01-03 22:00:00,2024-01-03 22:54:00,54,Planejada,Setup,Setup de rotina
215,3,12,3,2024-01-04 00:00:00,2024-01-04 00:49:00,49,Não Planejada,Mecânica,Parada não planejada por mecânica
216,4,1,1,2024-01-04 06:00:00,2024-01-04 06:58:00,58,Planejada,Setup,Setup de rotina
217,4,1,1,2024-01-04 08:00:00,2024-01-04 08:48:00,48,Não Planejada,Falta Material,Parada não planejada por falta material
218,4,1,2,2024-01-04 14:00:00,2024-01-04 14:36:00,36,Planejada,Setup,Setup de rotina
219,4,1,2,2024-01-04 16:00:00,2024-01-04 16:07:00,7,Não Planejada,Falta Material,Parada não planejada por falta material
220,4,1,3,2024-01-04 22:00:00,2024-01-04 22:49:00,49,Planejada,Setup,Setup de rotina
221,4,1,3,2024-01-05 00:00:00,2024-01-05 00:32:00,32,Não Planejada,Mecânica,Parada não planejada por mecânica
222,4,2,1,2024-01-04 06:00:00,2024-01-04 06:32:00,32,Planejada,Setup,Setup de rotina
223,4,2,1,2024-01-04 08:00:00,2024-01-04 08:17:00,17,Não Planejada,Elétrica,Parada não planejada por elétrica
224,4,2,2,2024-01-04 14:00:00,2024-01-04 14:54:00,54,Planejada,Setup,Setup de rotina
225,4,2,2,2024-01-04 16:00:00,2024-01-04 17:00:00,60,Não Planejada,Falta Material,Parada não planejada por falta material
226,4,2,3,2024-01-04 22:00:00,2024-01-04 22:42:00,42,Planejada,Setup,Setup de rotina
227,4,2,3,2024-01-05 00:00:00,2024-01-05 00:36:00,36,Não Planejada,Mecânica,Parada não planejada por mecânica
228,4,3,1,2024-01-04 06:00:00,2024-01-04 06:50:00,50,Planejada,Setup,Setup de rotina
229,4,3,1,2024-01-04 08:00:00,2024-01-04 09:44:00,104,Não Planejada,Elétrica,Parada não planejada por elétrica
230,4,3,2,2024-01-04 14:00:00,2024-01-04 14:54:00,54,Planejada,Setup,Setup de rotina
231,4,3,2,2024-01-04 16:00:00,2024-01-04 16:47:00,47,Não Planejada,Mecânica,Parada não planejada por mecânica
232,4,3,3,2024-01-04 22:00:00,2024-01-04 22:30:00,30,Planejada,Setup,Setup de rotina
233,4,3,3,2024-01-05 00:00:00,2024-01-05 01:23:00,83,Não Planejada,Elétrica,Parada não planejada por elétrica
234,4,4,1,2024-01-04 06:00:00,2024-01-04 06:41:00,41,Planejada,Limpeza,Limpeza de rotina
235,4,4,1,2024-01-04 08:00:00,2024-01-04 09:43:00,103,Não Planejada,Elétrica,Parada não planejada por elétrica
236,4,4,2,2024-01-04 14:00:00,2024-01-04 14:57:00,57,Planejada,Setup,Setup de rotina
237,4,4,2,2024-01-04 16:00:00,2024-01-04 16:37:00,37,Não Planejada,Falta Material,Parada não planejada por falta material
238,4,4,3,2024-01-04 22:00:00,2024-01-04 22:57:00,57,Planejada,Limpeza,Limpeza de rotina
